Country,Visitors_2020,Tourism_Revenue_2020_USD,Happiness_Score_2023,Log_GDP,Freedom_Score
Albania,2658000.0,1243000000.0,5.445,9.689,0.872
United Arab Emirates,8084000.0,24615400390.625,6.728,11.236,0.886
Armenia,375000.0,303000000.0,5.679,9.73,0.819
Australia,1828000.0,26234000000.0,7.025,10.846,0.876
Austria,15091000.0,15362000000.0,6.636,10.93,0.874
Azerbaijan,796000.0,340000000.0,5.214,9.637,0.829
Belgium,2584000.0,7447000000.0,6.944,10.883,0.87
Bulgaria,4973000.0,1792000000.0,5.59,10.273,0.754
Bahrain,1909000.0,724000000.0,5.959,10.877,0.869
Bosnia and Herzegovina,197000.0,438000000.0,6.009,9.759,0.847
Bolivia,323299.987792969,243000000.0,5.86,9.025,0.832
Colombia,1396000.0,1959000000.0,5.904,9.667,0.823
Comoros,7000.0,18500000.0,3.588,8.095,0.452
Costa Rica,1146500.0,1479000000.0,7.384,10.021,0.933
Estonia,1695000.0,865000000.0,6.43,10.517,0.915
Ethiopia,518000.0,2282000000.0,4.093,7.809,0.631
Finland,896000.0,1757000000.0,7.699,10.808,0.943
France,117109000.0,35958000000.0,6.557,10.742,0.776
Georgia,1513000.0,586000000.0,5.351,9.785,0.877
Greece,7406000.0,6193000000.0,5.796,10.387,0.589
Guatemala,594000.0,298500000.0,6.421,9.14,0.873
Honduras,669000.0,189000000.0,5.861,8.67,0.878
Croatia,21608000.0,5631853027.34375,5.958,10.462,0.573
Hungary,31641000.0,4224000000.0,5.965,10.473,0.755
Indonesia,4053000.0,3533000000.0,5.695,9.466,0.9
Italy,38419000.0,20459000000.0,6.245,10.703,0.699
Jordan,1240000.0,1745000000.0,4.292,9.151,0.754
Japan,4115799.8046875,11395000000.0,5.91,10.654,0.777
Kazakhstan,2035000.0,589000000.0,6.299,10.172,0.901
Cambodia,1306000.0,1119000000.0,4.221,8.462,0.961
Kuwait,2161000.0,524000000.0,7.13,10.812,0.898
Sri Lanka,540000.0,1076000000.0,3.602,9.364,0.754
Luxembourg,525000.0,4454000000.0,7.016,11.649,0.911
Morocco,2802000.0,4514000000.0,4.487,9.009,0.821
Moldova,29000.0,354000000.0,5.801,9.492,0.844
Madagascar,87099.9984741211,202000000.0,4.433,7.333,0.504
Mexico,51128000.0,11449000000.0,7.006,9.9,0.87
North Macedonia,118000.0,253000000.0,5.403,9.776,0.738
Montenegro,351000.0,180000000.0,5.813,10.041,0.799
Mongolia,66900.0015258789,49000000.0,5.58,9.433,0.699
Mauritius,316000.0,518000000.0,5.759,10.083,0.797
Malaysia,4333000.0,3386000000.0,5.868,10.283,0.965
Namibia,187100.006103516,155000000.0,5.055,9.167,0.674
Netherlands,7265000.0,10926200195.3125,7.255,10.977,0.847
Norway,1397000.0,2196000000.0,7.249,11.125,0.938
Nepal,230000.0,238000000.0,5.389,8.318,0.765
Panama,647000.0,1841000000.0,6.543,10.455,0.852
Peru,1119000.0,1002000000.0,5.936,9.459,0.757
Philippines,1483000.0,2769000000.0,6.184,9.102,0.932
Portugal,4208000.0,10522000000.0,5.954,10.504,0.847
Paraguay,1077000.0,104000000.0,6.214,9.549,0.902
Romania,5023000.0,1611000000.0,6.489,10.431,0.849
El Salvador,707000.0,755000000.0,6.482,9.167,0.942
Serbia,446000.0,1422000000.0,6.441,9.961,0.807
Slovenia,1216000.0,1418000000.0,6.746,10.664,0.931
Tunisia,2012000.0,1007000000.0,4.505,9.282,0.482
Uganda,473000.0,518000000.0,4.467,7.759,0.848
Ukraine,3382000.0,687000000.0,4.672,9.423,0.772
United States,45037000.0,84205000000.0,6.521,11.089,0.721
South Africa,3886600.09765625,2716000000.0,5.076,9.503,0.748
Zimbabwe,639000.0,66000000.0,3.572,7.679,0.735
